Product Name,msku,Opening Stock
Star Print Swaddles Baby ,CSTE_0366_Swaddle_Star_Print,0
Dinosaur Print Swaddles Baby ,CSTE_0367_Swaddle_Dinosaur_Print,0
Cars Print Swaddles Baby ,CSTE_0368_Swaddle_Cars_Print,0
ST-BTS-RJ-van-FBA,CSTE_0369_ST_RJ_van,0
ST-BTS-chimmy-cooky-koya-van,CSTE_0370_ST_chimmy_cooky_koya_van,0
ST-BTS-cooky-koya-rj-van-FBA,CSTE_0371_ST_cooky_koya_rj_van,0
ST-BTS-koya-rj-shooky-van-FBA,CSTE_0372_ST_koya_rj_shooky_van,0
ST-BTS-tata-van-chimmy-cooky-FBA,CSTE_0373_ST_tata_van_chimmy_cooky,0
ST-BTS-van-chimmy-cooky-koya-FBA,CSTE_0374_ST_van_chimmy_cooky_koya,0
ST-bts-throw-Army,CSTE_0375_ST_throw_Army,0
Rj_Shooky_Van_Tata,CSTE_0376_ST_Rj_Shooky_Van_Tata,0
Mang_Rj,CSTE_0377_ST_Mang_Rj,0
Battle Game Toy,CSTE_0378_OT_BattleGame_Toy,0
DropMelt Brown SG,CSTE_0379_SG_DropMelt_Brown,0
Snape Light Wand,CSTE_0380_Wands_Snape_Light,1
Rabbit Doll Grey,CSTE_0381_ST_Rabbit_Doll_Grey,0
Rabbit Doll Pink,CSTE_0382_ST_Rabbit_Doll_Pink,0
Cat Pillow Black,CSTE_0383_ST_Cat_Pillow_Black,0
Weed RedGreen SG,CSTE_0384_SG_Weed_RedGreen,0
Weed Green SG,CSTE_0385_SG_Weed_Green,0
Gangster Gold Square SG,CSTE_0386_SG_Gangster_SquareGold,0
Crystal Oval Brown SG,CSTE_0387_SG_Oval_Crystal_Brown,0
DoubleShade Heart Fire SG,CSTE_0388_SG_DoubleShade_HeartFire,0
DJ Alok Black SG,CSTE_0389_SG_DJ_Alok_Black,3
Dancing Piano MB,CSTE_0390_MB_Dancing_Piano,0
Makeup Organizer Black With Brushes,CSTE_0391_Organizer_Makeup_Black_Brush,0
Makeup Organizer LightGreen With Brushes,CSTE_0392_Organizer_Makeup_LightGreen_Brush,0
Makeup Organizer Pink With Brushes,CSTE_0393_Organizer_Makeup_Pink_Brush,0
